CustomerID,Recency,Frequency,Monetary,Avg_Order_Hour_Sin,Avg_Order_Hour_Cos,Weekend_Ratio,Avg_Basket_Size,Avg_Basket_Value,Avg_Basket_Product_Diversity,Avg_Basket_Item_Price,Avg_Basket_Price_Variance,Min_Item_Price_Paid,Max_Item_Price_Paid,Median_Item_Price_Paid,Avg_Product_Popularity
12347.0,33,1,711.79,-0.4999999999999997,-0.8660254037844388,0.0,319.0,711.79,31.0,2.89,1.505489953470298,0.65,5.95,3.25,381.8709677419355
12348.0,24,1,892.8,-0.9659258262890685,0.2588190451025203,0.0,1254.0,892.8,13.0,2.9176470588235297,9.562247074702006,0.29,40.0,0.55,1115.0588235294117
12370.0,24,2,1868.02,0.062163233510905386,-0.9742511455988174,0.0,484.0,934.01,45.0,5.240617469879519,7.224692607979839,0.65,40.0,2.1,290.2967032967033
12377.0,21,1,1001.52,0.7071067811865476,-0.7071067811865475,0.0,604.0,1001.52,43.0,2.106279069767442,1.4244648506516302,0.42,4.95,1.95,372.86046511627904
12383.0,19,1,600.72,-0.4999999999999997,-0.8660254037844387,0.0,754.0,600.72,37.0,1.3251351351351353,2.4213272549731224,0.12,15.0,0.65,554.918918918919
12386.0,4,2,401.9,0.565685424949238,-0.765685424949238,0.0,177.0,200.95,5.0,1.888125,1.3202159509095839,0.36,6.75,1.45,241.6
12395.0,23,2,679.92,-0.8660254037844384,-0.5000000000000004,0.0,376.5,339.96000000000004,15.5,3.339802631578947,5.265423600398974,0.19,18.0,0.85,698.516129032258
12413.0,3,1,479.25,-0.8660254037844384,-0.5000000000000004,0.0,180.0,479.25,24.0,5.125,6.642452402015651,0.65,29.95,2.95,425.1666666666667
12415.0,4,1,7011.38,0.258819045102521,-0.9659258262890681,0.0,4662.0,7011.38,46.0,1.871304347826087,1.3871611437202758,0.37,6.75,1.5499999999999998,405.04347826086956
12417.0,24,1,291.34,0.258819045102521,-0.9659258262890682,0.0,60.0,291.34,11.0,7.003636363636363,5.179174205850336,1.69,15.0,3.75,294.72727272727275
